source_id,first_success_at,last_success_at,last_attempt_at,consecutive_failures,consecutive_throttled,expected_interval_h,staleness_h,gate_fail_rate_28d,attempts_28d,status
openrouter.benchmarks.artificial-analysis,2026-09-01T14:47:56Z,2026-09-22T01:06:11Z,2026-09-22T01:06:11Z,0,0,168,0.7,0.000,9,active
openrouter.benchmarks.design-arena,2026-09-01T14:48:19Z,2026-09-22T01:06:12Z,2026-09-22T01:06:12Z,0,0,168,0.7,0.000,9,active
openrouter.benchmarks.openrouter,2026-09-01T17:26:03Z,2026-09-22T01:06:11Z,2026-09-22T01:06:11Z,0,0,168,0.7,0.000,8,active
openrouter.classifications.task,2026-09-01T14:48:23Z,2026-09-22T01:06:15Z,2026-09-22T01:06:15Z,0,0,168,0.7,0.000,9,active
openrouter.models.catalog,2026-09-01T14:48:26Z,2026-09-22T01:06:18Z,2026-09-22T01:06:18Z,0,0,168,0.7,0.000,9,active
openrouter.sessions.cost,2026-09-01T17:26:13Z,2026-09-22T01:06:20Z,2026-09-22T01:06:20Z,0,0,168,0.7,0.000,32,active
